scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,43,0.844,6.321,2
3,77,1.356,8.118,2
4,208,2.452,18.404,4
5,229,10.656,19.907,12
6,238,6.14,22.245,22
7,1068,6.014,92.293,49
8,892,5.989,75.665,100
9,1345,6.549,120.117,195
10,2376,1.517,214.109,427
11,2901,7.718,265.104,798
12,7701,9.399,704.341,1615
13,7901,11.962,706.153,3247
14,11601,20.337,1030.29,6487
15,21001,42.741,1906.23,12931
16,30901,77.353,2793.83,25940
17,48802,157.692,4361.57,52159
18,84201,308.186,7514.89,104587
19,122601,632.106,10879.1,216265
20,2834701,1774.47,245671,8123358
