scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,189,0.191,6.483,4
3,187,0.246,7.615,9
4,559,1.287,14.846,22
5,1090,1.723,55.617,47
6,1486,0.456,60.872,107
7,2674,0.631,113.512,215
8,4201,1.024,192.016,449
9,6301,4.455,113.418,961
10,9401,4.075,383.333,1885
11,15601,8.243,687.798,3838
12,20501,19.254,889.568,7783
13,36701,37.945,1490.51,15719
14,51301,79.05,2192.63,31689
15,87402,168.969,4065.46,63731
16,132501,275.204,5963.06,128052
17,220001,639.371,10331.1,256955
18,357901,1304.31,20488,603792
19,1928601,3117.65,72924.6,4244101
20,4098201,7177.95,183120,14409612
