scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,171,2.487,14.523,3
3,93,3.205,8.949,3
4,213,4.034,18.011,6
5,491,3.158,38.66,16
6,471,6.792,41.469,32
7,881,3.237,72.056,69
8,1601,6.461,137.292,137
9,2157,9.34,176.786,283
10,3301,8.246,258.047,576
11,4801,5.48,394.687,1100
12,7501,12.786,590.244,2291
13,11701,16.617,991.084,4592
14,20301,39.743,1974.56,9239
15,30201,59.517,3019.42,18532
16,47301,102.931,4218.17,37148
17,71301,230.792,6923.34,74607
18,106801,464.881,10337.5,148844
19,262101,928.074,24009.9,531842
20,4492101,3122.09,437758,7967491
