scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1,0.812,0.875,0
3,13,1.349,2.102,1
4,38,3.726,5.982,5
5,113,5.176,11.186,11
6,353,7.208,32.37,22
7,253,7.676,23.117,42
8,1046,11.162,84.312,82
9,1336,7.576,108.602,155
10,1411,7.601,118.594,330
11,3801,11.951,317.693,673
12,4801,13.83,398.804,1349
13,6201,14.405,536.826,2711
14,12401,22.118,1027.08,5406
15,17201,40.157,1736.93,10853
16,28801,74.013,2769.78,21842
17,40401,133.005,4088.26,43499
18,65901,285.367,5745.08,86869
19,108701,564.292,10327.4,174747
20,1794601,1860.35,175843,7554565
