scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,21,2.157,2.534,1
3,105,2.47,10.805,3
4,286,3.447,29.395,7
5,505,6.389,48.005,14
6,553,6.924,55.007,28
7,680,5.509,69.531,62
8,901,4.785,88.861,136
9,1801,5.741,190.778,269
10,3664,6.29,344.838,534
11,4801,6.955,462.011,1066
12,6436,11.985,593.228,2135
13,10594,13.361,1020.7,4313
14,19501,29.089,1907.02,8642
15,26401,48.78,2747.89,17271
16,44101,88.645,4366.25,35069
17,65801,200.081,6726.77,69489
18,107701,398.551,10729.8,138964
19,325401,850.787,32217.8,448225
20,4482001,2726.28,427882,8582017
