scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,23,1.17,2.854,1
3,33,1.416,3.436,3
4,223,1.826,21.986,9
5,377,2.036,35.755,25
6,386,2.271,38.395,44
7,1456,2.3,143.014,107
8,1601,2.239,160.712,201
9,2901,2.679,284.552,430
10,4201,4.689,415.239,872
11,7001,5.778,614.109,1769
12,12001,9.409,1103.44,3592
13,19901,17.57,1932.59,7142
14,28201,35.211,2782.24,14304
15,46201,75.547,4467.91,28675
16,67801,134.987,6709.7,57386
17,107601,304.512,10498.3,115545
18,166101,617.404,16365,231010
19,1293101,1526.32,124624,1382593
20,4285301,3395.43,425152,11612650
