scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,10,0.693,0.959,3
3,185,0.658,13.371,8
4,501,0.929,33.61,19
5,638,1.105,43.449,40
6,1401,0.965,99.7,90
7,1701,1.042,119.611,195
8,3801,1.613,271.794,409
9,5501,2.403,372.909,811
10,10201,4.029,721.679,1692
11,13101,6.774,873.218,3403
12,18501,13.622,1289.25,6954
13,32901,28.449,2240.92,13991
14,52301,56.572,3689.41,28229
15,80101,118.188,5339.62,57147
16,120401,253.676,8431.6,114055
17,197801,535.592,13896.9,228976
18,302501,1171.12,21280,496596
19,1873601,2640.17,132338,3719687
20,3735301,6309.16,244675,14175851
