scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,99,1.548,8.409,3
3,99,1.975,10.098,5
4,109,2.496,10.672,8
5,397,2.767,36.107,16
6,512,3.393,49.027,37
7,1486,3.179,132.097,76
8,1275,3.087,113.619,150
9,2025,4.178,178.884,320
10,3745,4.175,324.422,631
11,5545,4.957,487.405,1248
12,7401,9.216,631.96,2556
13,13001,15.032,1187.63,5074
14,19201,30.047,1761.6,10328
15,33501,51.112,3167.15,20736
16,51401,100.736,4904.41,41579
17,82301,226.769,7449.28,83372
18,121701,481.871,13236.7,166922
19,540001,1046.12,50500.3,705354
20,4487501,3115.32,499582,9222092
