scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,157,2.092,12.59,2
3,125,2.818,11.818,4
4,187,2.84,17.84,9
5,166,4.991,14.635,20
6,475,4.773,37.909,30
7,601,4.352,47.653,69
8,777,5.605,59.584,130
9,1693,4.587,134.164,272
10,3627,5.786,302.895,535
11,4456,6.1,360.835,1063
12,6801,8.869,532.038,2147
13,11401,15.321,992.281,4300
14,16001,24.992,1328.37,8654
15,25401,55.072,2205.46,17293
16,41701,100.193,4126.35,34655
17,69001,206.068,6302.4,69656
18,107701,410.579,9370.56,138835
19,326101,894.276,33963.2,448841
20,4482001,3086.97,397816,8435170
