scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,101,1.787,9.374,1
3,289,2.199,29.991,6
4,93,3.523,10.097,8
5,486,4.16,44.145,22
6,585,4.039,53.069,45
7,1317,4.235,126.224,89
8,2135,6.022,199.584,182
9,2201,2.416,215.311,414
10,4555,5.516,421.299,793
11,6634,6.536,617.176,1588
12,10301,9.588,962.113,3189
13,18701,19.63,1882.63,6431
14,24801,33.181,2474.96,12891
15,40401,72.29,3904.51,25842
16,63901,130.805,6195.47,51771
17,100401,284.715,9437.09,103770
18,151601,593.798,14916.5,208005
19,556801,1387.85,50664.7,1132709
20,4481701,3617.33,450239,10992163
