scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,23,0.846,4.786,1
3,9,1.545,1.728,1
4,173,3.772,19.787,4
5,229,5.14,22.747,9
6,147,12.571,15.366,14
7,451,9.01,46.306,35
8,831,12.983,83.247,70
9,721,12.846,69.813,144
10,2179,9.208,221.064,290
11,2523,14.44,260.862,611
12,4001,11.284,407.909,1151
13,6801,24.197,729.514,2313
14,10501,24.092,1224.84,4645
15,14801,39.962,1690.77,9306
16,25101,74.116,2774.62,18612
17,35901,132.466,3994.45,37422
18,56901,253.775,5958.46,74406
19,92101,525.881,10260.4,149294
20,4480301,1762.19,499614,7103071
