scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,205,0.2,6.052,7
3,456,0.256,14.169,21
4,901,0.296,26.198,55
5,1747,0.78,53.604,139
6,3201,0.692,92.653,335
7,5601,1.71,171.052,697
8,8501,2.659,246.587,1517
9,13601,6.077,412.184,3231
10,25701,11.669,679.113,6748
11,40301,25.687,1211.51,13862
12,61201,54.565,1717.48,28614
13,102701,122.301,3148.83,58668
14,161101,264.299,4670.99,119602
15,258602,577.578,7901.49,243449
16,406901,1102.18,11715.8,492704
17,878401,2669.84,26744.7,1314333
18,1502001,6027.92,42900.7,3393978
19,2663201,13540.5,85276.9,7591723
20,4437501,29762.2,138252,15879224
