scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,149,0.719,8.961,4
3,199,2.041,10.07,4
4,491,2.731,27.087,13
5,481,2.942,27.852,29
6,1046,1.048,45.328,67
7,1301,1.078,67.435,132
8,2301,3.55,114.845,275
9,3961,1.924,203.053,549
10,5941,3.661,306.033,1124
11,9101,6.925,526.465,2224
12,13501,13.17,684.825,4491
13,23601,21.602,1431.94,9084
14,32701,53.063,1878.58,18337
15,54401,94.605,3641.1,36815
16,85101,183.808,6047.62,73561
17,130501,395.717,7783.79,147918
18,205601,811.778,14468.2,296876
19,657701,1768.44,38798.2,2080954
20,4407101,4214.09,263095,12745697
