scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1,1.168,0.677,0
3,157,1.228,11.556,8
4,221,1.549,15.585,14
5,369,3.31,26.183,24
6,785,3.49,51.992,53
7,801,3.568,56.163,117
8,2901,3.919,204.388,237
9,2601,4.144,170.95,486
10,5601,4.836,397.053,975
11,7301,8.514,480.575,1971
12,12601,12.195,822.901,3934
13,18601,24.672,1269.8,7946
14,31501,50.048,2150.15,16027
15,48201,100.121,3466.47,32561
16,70401,149.858,4864.47,64747
17,121401,323.89,8368.12,129461
18,186301,673.22,12936,259730
19,1416301,1765.92,101357,1687450
20,4483401,3956.2,336700,12198334
