scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,179,0.18,5.096,7
3,436,0.193,6.594,19
4,673,0.241,12.259,46
5,1101,0.271,15.652,93
6,2476,0.457,41.625,227
7,5101,0.811,76.85,494
8,8201,1.725,236.172,1072
9,11502,4.332,345.291,2237
10,19401,7.847,266.621,4692
11,29801,16.4,874.348,9719
12,47901,45.195,692.57,19693
13,76601,73.646,1064.76,40548
14,113801,167.907,1657.57,81524
15,192901,346.612,2812.94,164980
16,299901,765.25,3605.4,333379
17,471901,1711.56,6421.5,771283
18,1468101,3969.76,34150.9,2718406
19,2700601,8938.24,41156.7,7119655
20,4472801,20185.4,71546.5,15701923
