scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,50,1.453,3.933,3
3,161,2.654,11.982,4
4,274,3.905,20.657,9
5,439,6.954,33.216,18
6,491,5.224,36.388,37
7,777,7.351,55.298,75
8,1262,2.452,87.216,165
9,2278,7.305,157.509,322
10,2601,6.083,215.463,663
11,5601,7.102,411.182,1333
12,10601,9.758,831.177,2685
13,13201,22.439,1005.66,5359
14,19501,33.229,1677.65,10765
15,33401,77.264,2750.91,21494
16,53601,117.321,4680.58,43224
17,80501,232.67,7551.47,86571
18,124301,505.506,12675.6,173490
19,851301,1055.83,68927.6,773902
20,2186501,3391.12,187460,8256893
