scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,67,0.828,8.615,1
3,159,1.181,15.808,3
4,244,1.698,24.771,4
5,115,3.461,10.86,12
6,280,5.259,24.682,15
7,289,8.264,27.559,33
8,433,6.188,34.585,71
9,1117,6.458,93.222,138
10,2377,7.693,207.486,285
11,2575,5.526,240.203,565
12,3601,7.749,328.869,1153
13,6041,15.609,592.586,2317
14,11201,24.771,1089.71,4702
15,15601,43.733,1585.26,9293
16,25101,72.728,2583.11,18612
17,38001,134.186,4382.88,37311
18,63801,276.652,6648.66,74763
19,90401,560.975,9934.27,148942
20,4480301,1751.87,458962,7071079
