scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,96,0.792,7.034,3
3,34,1.002,2.893,4
4,356,1.583,26.229,12
5,891,1.931,66.211,30
6,838,1.586,59.615,62
7,713,1.52,53.494,121
8,2501,1.981,184.393,242
9,3627,2.213,269.869,528
10,4555,3.288,308.507,1007
11,8301,5.115,587.584,2074
12,14701,10.181,1012.22,4232
13,21601,18.476,1653.69,8514
14,32501,38.082,2348.45,17070
15,52701,73.482,3835.53,34185
16,79001,160.949,5588.95,69010
17,121301,334.183,9172.7,138332
18,195701,719.034,13786,277626
19,795601,1890.61,58602.9,1902410
20,4473701,3974.96,319642,12480936
