scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,79,0.597,8.437,1
3,145,0.708,13.178,2
4,77,1.504,8.455,6
5,289,2.936,24.346,12
6,333,2.566,31.033,22
7,571,2.434,48.578,46
8,416,3.396,38.263,94
9,1501,4.192,129.709,191
10,2566,3.877,230.646,377
11,3101,5.267,287.691,769
12,4801,8.436,446.203,1532
13,7723,12.754,727.71,3094
14,13301,21.002,1378.33,6186
15,18701,46.614,1825.32,12378
16,29201,76.318,3284.27,24803
17,50901,148.063,5208.18,49657
18,73701,318.025,7724.63,99507
19,122501,638.62,13035.9,199377
20,3442801,1829.61,370238,7946336
