scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,97,0.642,3.373,5
3,369,0.256,16.694,12
4,697,0.256,21.804,31
5,951,0.253,18.025,54
6,1783,0.38,43.349,138
7,3073,0.581,127.592,275
8,4301,1.566,153.081,582
9,7201,1.964,231.106,1175
10,11101,4.134,463.311,2498
11,18401,9.688,707.037,5037
12,27001,21.772,1158.23,10260
13,44901,40.097,865.631,20769
14,66301,85.397,2745.58,41896
15,112001,180.844,4552.99,84436
16,172101,371.332,6381.77,169756
17,280201,801.286,9855.35,341136
18,435401,1775.88,14856.4,1051441
19,2054701,4194.74,59377.5,5439864
20,4475001,9791.03,157533,14983431
