scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,76,0.606,7.583,1
3,48,1.483,6.023,3
4,197,1.297,17.121,5
5,220,3.414,18.331,13
6,305,3.946,23.248,26
7,589,3.234,41.077,49
8,941,4.237,70.993,98
9,1882,4.677,147.734,197
10,2872,5.442,223.759,395
11,3801,7.092,309.278,804
12,6733,6.522,541.196,1611
13,9401,11.723,835.983,3239
14,13501,31.466,1190.47,6484
15,22001,48.144,2147.12,12940
16,35901,84.556,3368.15,26031
17,49901,165.922,4969.86,52152
18,78101,347.964,7852.13,104451
19,123101,753.452,11929.7,215921
20,2671801,2244.28,251043,7943100
