source,end,weight
0,1,52
0,10,63
0,11,19
0,12,6
0,13,10
0,14,97
0,15,96
0,16,80
0,17,90
0,18,6
0,2,10
0,20,53
0,21,41
0,22,6
0,24,55
0,25,29
0,27,41
0,28,25
0,29,72
0,3,12
0,32,23
0,33,36
0,34,66
0,35,100
0,36,60
0,37,61
0,38,21
0,39,76
0,4,26
0,40,98
0,41,35
0,42,46
0,43,55
0,44,45
0,48,83
0,49,8
0,5,72
0,50,79
0,51,35
0,52,48
0,56,64
0,57,88
0,58,43
0,6,44
0,60,59
0,7,22
0,8,17
0,9,85
1,0,52
1,10,40
1,12,35
1,14,77
1,15,10
1,16,15
1,17,84
1,18,40
1,19,1
1,2,11
1,20,31
1,21,75
1,22,50
1,23,84
1,24,39
1,26,26
1,29,47
1,3,32
1,32,7
1,33,87
1,34,16
1,38,20
1,4,68
1,40,10
1,42,60
1,44,43
1,45,36
1,46,57
1,47,9
1,48,19
1,49,96
1,5,24
1,50,9
1,51,1
1,52,22
1,55,12
1,56,100
1,58,42
1,59,47
1,6,4
1,8,21
1,9,39
10,0,63
10,1,40
10,13,14
10,16,78
10,17,8
10,18,6
10,2,9
10,20,74
10,22,18
10,24,38
10,25,6
10,32,22
10,33,5
10,34,33
10,38,98
10,4,21
10,40,71
10,46,25
10,48,80
10,6,81
10,61,26
10,8,33
11,0,19
11,16,46
11,2,26
11,31,37
11,43,92
11,57,86
11,6,88
11,8,21
12,0,6
12,1,35
12,16,67
12,17,79
12,18,72
12,19,93
12,24,55
12,32,10
12,33,91
12,34,73
12,36,95
12,38,44
12,4,70
12,44,51
12,46,55
12,48,89
12,53,25
12,6,39
13,0,10
13,10,14
13,21,55
13,28,1
13,32,20
13,36,6
13,40,87
13,48,66
13,8,50
13,9,97
14,0,97
14,1,77
14,3,60
14,34,9
14,4,72
15,0,96
15,1,10
15,24,34
15,4,73
16,0,80
16,1,15
16,10,78
16,11,46
16,12,67
16,17,52
16,18,59
16,19,43
16,2,15
16,20,23
16,22,82
16,24,15
16,25,14
16,26,17
16,27,10
16,28,48
16,3,85
16,30,54
16,32,33
16,33,43
16,35,53
16,36,88
16,38,74
16,4,9
16,40,17
16,42,86
16,43,89
16,5,88
16,58,56
16,6,5
16,62,38
16,7,80
16,8,68
16,9,86
17,0,90
17,1,84
17,10,8
17,12,79
17,16,52
17,18,55
17,19,9
17,2,29
17,3,46
17,32,35
17,33,64
17,36,21
17,4,11
17,40,83
17,43,71
17,48,24
17,5,28
17,50,52
17,6,32
17,8,74
17,9,2
18,0,6
18,1,40
18,10,6
18,12,72
18,16,59
18,17,55
18,2,31
18,21,86
18,22,42
18,29,14
18,33,27
18,35,82
18,36,68
18,37,60
18,4,68
18,44,87
18,48,92
18,53,97
18,8,6
19,1,1
19,12,93
19,16,43
19,17,9
19,2,68
19,24,76
19,32,27
19,5,34
19,7,38
2,0,10
2,1,11
2,10,9
2,11,26
2,16,15
2,17,29
2,18,31
2,19,68
2,20,50
2,22,4
2,25,17
2,29,72
2,3,91
2,31,94
2,32,75
2,33,19
2,34,37
2,35,91
2,36,88
2,37,98
2,4,65
2,40,18
2,42,95
2,46,5
2,48,56
2,5,18
2,6,10
2,60,96
2,7,50
2,8,79
2,9,20
20,0,53
20,1,31
20,10,74
20,16,23
20,2,50
20,21,85
20,3,24
20,32,24
20,34,39
20,35,79
20,40,46
20,41,67
20,48,76
20,5,25
20,51,37
20,6,29
20,8,73
21,0,41
21,1,75
21,13,55
21,18,86
21,20,85
21,24,79
21,42,96
21,5,11
21,6,22
21,8,55
22,0,6
22,1,50
22,10,18
22,16,82
22,18,42
22,2,4
22,3,63
22,32,37
22,37,85
22,40,13
22,7,90
22,8,74
23,1,84
23,32,74
23,4,8
24,0,55
24,1,39
24,10,38
24,12,55
24,15,34
24,16,15
24,19,76
24,21,79
24,27,95
24,3,70
24,32,53
24,33,66
24,34,49
24,35,26
24,37,50
24,4,79
24,40,78
24,44,28
24,5,67
24,6,33
25,0,29
25,10,6
25,16,14
25,2,17
25,28,83
25,32,81
25,33,42
25,34,65
25,35,96
25,36,5
25,4,71
25,40,7
25,48,82
25,8,71
26,1,26
26,16,17
26,27,7
26,3,4
26,32,27
26,41,42
26,52,85
26,6,72
26,8,99
26,9,12
27,0,41
27,16,10
27,24,95
27,26,7
27,32,88
27,4,65
28,0,25
28,13,1
28,16,48
28,25,83
28,3,87
28,32,29
28,36,28
28,4,92
28,8,15
29,0,72
29,1,47
29,18,14
29,2,72
29,34,31
29,4,36
3,0,12
3,1,32
3,14,60
3,16,85
3,17,46
3,2,91
3,20,24
3,22,63
3,24,70
3,26,4
3,28,87
3,32,35
3,33,76
3,34,73
3,36,80
3,37,29
3,45,20
3,50,96
3,6,57
3,8,74
30,16,54
30,6,61
30,8,94
31,11,37
31,2,94
31,32,46
32,0,23
32,1,7
32,10,22
32,12,10
32,13,20
32,16,33
32,17,35
32,19,27
32,2,75
32,20,24
32,22,37
32,23,74
32,24,53
32,25,81
32,26,27
32,27,88
32,28,29
32,3,35
32,31,46
32,33,34
32,34,64
32,36,83
32,37,45
32,38,3
32,4,60
32,40,19
32,48,77
32,49,19
32,5,18
32,50,84
32,52,43
32,6,7
32,7,83
32,8,8
32,9,25
33,0,36
33,1,87
33,10,5
33,12,91
33,16,43
33,17,64
33,18,27
33,2,19
33,24,66
33,25,42
33,3,76
33,32,34
33,34,90
33,38,90
33,4,79
33,48,18
33,50,55
33,56,18
33,6,19
33,63,60
33,8,30
34,0,66
34,1,16
34,10,33
34,12,73
34,14,9
34,2,37
34,20,39
34,24,49
34,25,65
34,29,31
34,3,73
34,32,64
34,33,90
34,4,33
34,40,41
34,41,79
34,44,94
34,48,60
34,53,54
34,54,95
34,8,97
35,0,100
35,16,53
35,18,82
35,2,91
35,20,79
35,24,26
35,25,96
35,49,29
35,5,24
35,54,61
35,6,33
36,0,60
36,12,95
36,13,6
36,16,88
36,17,21
36,18,68
36,2,88
36,25,5
36,28,28
36,3,80
36,32,83
36,4,78
36,46,24
36,48,77
36,49,4
36,50,72
36,8,99
36,9,42
37,0,61
37,18,60
37,2,98
37,22,85
37,24,50
37,3,29
37,32,45
37,42,21
37,8,38
38,0,21
38,1,20
38,10,98
38,12,44
38,16,74
38,32,3
38,33,90
39,0,76
39,8,68
4,0,26
4,1,68
4,10,21
4,12,70
4,14,72
4,15,73
4,16,9
4,17,11
4,18,68
4,2,65
4,23,8
4,24,79
4,25,71
4,27,65
4,28,92
4,29,36
4,32,60
4,33,79
4,34,33
4,36,78
4,40,55
4,41,99
4,42,87
4,44,91
4,48,21
4,49,16
4,5,48
4,50,100
4,53,34
4,56,56
4,6,68
4,8,85
4,9,4
40,0,98
40,1,10
40,10,71
40,13,87
40,16,17
40,17,83
40,2,18
40,20,46
40,22,13
40,24,78
40,25,7
40,32,19
40,34,41
40,4,55
40,43,47
40,44,87
40,48,66
40,50,46
40,6,21
40,8,68
41,0,35
41,20,67
41,26,42
41,34,79
41,4,99
41,48,100
41,5,53
41,6,9
41,60,70
41,8,99
42,0,46
42,1,60
42,16,86
42,2,95
42,21,96
42,37,21
42,4,87
42,48,20
42,5,86
42,9,50
43,0,55
43,11,92
43,16,89
43,17,71
43,40,47
44,0,45
