source,end,weight
0,1,65
0,10,98
0,100,42
0,1000,14
0,1009,55
0,102,7
0,1024,32
0,1025,43
0,1026,85
0,1027,31
0,1028,10
0,1029,83
0,1030,66
0,1031,76
0,1032,37
0,1033,70
0,1034,76
0,1035,5
0,1036,24
0,1037,91
0,1038,34
0,104,89
0,1040,97
0,1041,21
0,1042,45
0,1043,26
0,1044,5
0,1046,87
0,1048,6
0,1049,31
0,105,32
0,1050,48
0,1051,72
0,1052,24
0,1056,6
0,1057,48
0,1058,38
0,1059,16
0,106,42
0,1060,82
0,1061,55
0,1062,43
0,1064,24
0,1065,18
0,1066,23
0,1067,47
0,1068,61
0,1069,8
0,107,92
0,1072,80
0,1073,87
0,1074,86
0,1076,14
0,1078,11
0,108,11
0,1080,54
0,1081,10
0,1084,74
0,1088,4
0,1089,73
0,1090,46
0,1092,27
0,1093,88
0,1095,2
0,1096,58
0,1097,30
0,1098,49
0,1099,18
0,11,81
0,110,72
0,1100,89
0,1101,90
0,1104,28
0,1105,12
0,1106,4
0,1107,94
0,1108,35
0,1109,66
0,1112,76
0,1114,17
0,1116,62
0,112,17
0,1120,76
0,1121,25
0,1122,1
0,1124,64
0,1125,56
0,1126,56
0,1129,56
0,1132,97
0,1133,16
0,1134,45
0,1137,49
0,1138,70
0,114,17
0,1140,66
0,1144,90
0,1152,48
0,1153,20
0,1154,54
0,1155,11
0,1156,27
0,1157,9
0,1158,84
0,1159,63
0,116,77
0,1160,64
0,1161,73
0,1162,39
0,1163,61
0,1164,40
0,1166,37
0,1168,84
0,1170,35
0,1176,12
0,1178,86
0,1180,57
0,1184,24
0,1185,42
0,1186,67
0,1188,51
0,1190,64
0,1192,22
0,1193,2
0,1195,14
0,1196,85
0,1199,20
0,12,85
0,1200,19
0,1201,69
0,1202,21
0,1205,14
0,1209,29
0,121,100
0,1210,59
0,1216,89
0,1217,29
0,1218,57
0,122,24
0,1220,30
0,1221,20
0,1224,22
0,1227,58
0,1228,43
0,123,43
0,1231,62
0,1232,68
0,1234,74
0,124,96
0,1250,80
0,1252,17
0,1256,65
0,1258,48
0,126,50
0,1268,9
0,1272,63
0,128,65
0,1280,24
0,1281,89
0,1282,96
0,1283,41
0,1284,24
0,1285,39
0,1286,30
0,1288,50
0,1289,29
0,129,91
0,1290,47
0,1291,60
0,1292,5
0,1296,59
0,1297,47
0,1298,69
0,13,18
0,130,57
0,1304,36
0,1305,66
0,1306,31
0,1307,33
0,1309,40
0,131,6
0,1310,40
0,1312,81
0,1313,36
0,1314,56
0,1316,26
0,1318,44
0,1319,76
0,132,65
0,1320,66
0,1323,23
0,1324,7
0,1326,4
0,1328,72
0,1329,73
0,133,63
0,1332,93
0,1336,81
0,134,77
0,1344,86
0,1345,96
0,1346,50
0,1354,72
0,136,46
0,1360,100
0,1362,50
0,1366,71
0,1368,64
0,137,70
0,1372,80
0,138,97
0,1380,68
0,1384,47
0,139,57
0,14,56
0,1400,34
0,1408,48
0,141,68
0,1410,57
0,1411,15
0,1412,84
0,142,14
0,1424,72
0,1425,24
0,1426,81
0,1428,28
0,1429,10
0,1434,26
0,144,7
0,1440,21
0,1442,54
0,1444,87
0,1448,95
0,145,31
0,1456,69
0,1458,22
0,146,79
0,1464,50
0,147,83
0,1472,68
0,1474,68
0,1475,54
0,1476,58
0,148,26
0,1487,70
0,1489,39
0,149,70
0,1490,17
0,1497,79
0,1498,62
0,15,88
0,150,50
0,1512,87
0,152,21
0,1520,30
0,1536,45
0,1537,38
0,1538,39
0,1539,24
0,154,81
0,1540,20
0,1541,25
0,1542,22
0,1543,6
0,1544,97
0,1545,97
0,1546,94
0,1548,40
0,1551,22
0,1552,23
0,1553,18
0,1556,17
0,1557,2
0,1559,45
0,156,55
0,1560,42
0,1561,84
0,1562,30
0,1568,28
0,1569,16
0,1570,20
0,1572,92
0,1575,88
0,1576,89
0,1579,28
0,1580,47
0,1584,92
0,1585,76
0,1586,41
0,1592,3
0,1594,44
0,16,52
0,160,24
0,1600,88
0,1601,17
0,1604,9
0,1605,100
0,1606,66
0,1608,97
0,161,83
0,1616,4
0,1617,56
0,1618,12
0,162,76
0,1625,96
0,1628,68
0,163,40
0,1632,46
0,164,97
0,1640,39
0,1641,31
0,1649,16
0,165,4
0,1652,83
0,1658,6
0,166,93
0,1660,96
0,1664,100
0,1665,1
0,1666,98
0,167,95
0,1670,89
0,1672,30
0,1673,52
0,1675,89
0,1676,29
0,168,74
0,1682,67
0,1684,94
0,1685,51
0,1696,20
0,1699,22
0,17,37
0,170,51
0,1701,77
0,1703,87
0,1704,80
0,171,3
0,1712,20
0,1715,66
0,1718,53
0,172,8
0,1728,81
0,1733,79
0,1734,23
0,1736,84
0,174,97
0,1756,19
0,176,46
0,1760,34
0,1761,49
0,1763,16
0,1765,10
0,1777,32
0,1792,38
0,1793,11
0,1794,15
0,1796,20
0,1797,95
0,1799,77
0,18,61
0,180,97
0,1800,50
0,1806,21
0,1808,12
0,1809,62
0,1813,69
0,182,62
0,1821,27
0,1824,37
0,1826,64
0,1828,81
0,1830,84
0,1832,76
0,1833,91
0,1836,71
0,184,28
0,1856,47
0,1857,55
0,1860,50
0,1872,43
0,1878,83
0,189,59
0,1891,26
0,19,47
0,192,93
0,1920,80
0,1921,87
0,1923,81
0,1924,55
0,193,80
0,194,90
0,1940,4
0,1944,17
0,1947,80
0,195,41
0,1954,27
0,196,36
0,197,34
0,198,35
0,199,61
0,2,76
0,20,11
0,200,74
0,2006,40
0,202,63
0,203,82
0,205,12
0,208,39
0,209,100
0,21,49
0,213,38
0,216,31
0,217,35
0,218,63
0,22,14
0,224,46
0,226,30
0,228,83
0,229,64
0,23,31
0,231,56
0,232,53
0,233,56
0,234,89
0,235,57
0,237,88
0,24,53
0,240,88
0,241,83
0,25,31
0,255,95
0,256,19
0,257,38
0,258,28
0,259,53
0,26,85
0,260,53
0,261,20
0,262,9
0,263,5
0,264,75
0,265,49
0,266,13
0,267,93
0,268,89
0,269,71
0,27,67
0,272,53
0,273,87
0,274,68
0,275,24
0,276,80
0,277,37
0,278,26
0,279,7
0,28,66
0,280,20
0,281,85
0,282,78
0,286,64
0,287,26
0,288,75
0,289,91
0,29,64
0,290,78
0,291,28
0,292,62
0,293,38
0,294,84
0,296,87
0,297,97
0,298,29
0,3,63
0,301,78
0,302,2
0,304,64
0,305,21
0,307,95
0,308,58
0,309,20
0,310,1
0,312,56
0,313,79
0,315,63
0,317,13
0,32,29
0,320,55
0,321,65
0,322,18
0,323,16
0,324,3
0,325,1
0,326,4
0,327,41
0,328,97
0,329,33
0,33,58
0,330,67
0,331,15
0,332,62
0,336,40
0,337,31
0,338,72
0,34,90
0,340,50
0,344,50
0,35,84
0,350,56
0,352,75
0,353,25
0,354,60
0,356,25
0,358,69
0,36,56
0,360,96
0,362,40
0,368,7
0,369,56
0,37,59
0,370,46
0,372,28
0,374,64
0,376,1
0,38,75
0,384,77
0,385,94
0,386,94
0,387,54
0,388,57
0,389,14
0,39,1
0,390,27
0,392,100
0,393,66
0,394,12
0,396,42
0,4,4
0,40,28
0,400,52
0,401,99
0,402,7
0,404,73
0,405,23
0,406,60
0,41,72
0,416,94
0,417,63
0,418,39
0,42,82
0,420,29
0,424,35
0,428,14
0,43,64
0,433,86
0,434,100
0,436,8
0,437,59
0,438,36
0,44,41
0,448,51
0,45,89
0,451,79
0,452,21
0,453,55
0,454,59
0,456,24
0,458,34
0,46,4
0,460,32
0,463,19
0,464,99
0,466,30
0,472,18
0,48,26
0,480,77
0,481,18
0,482,14
0,49,16
0,5,98
0,50,43
0,512,88
0,513,5
0,514,100
0,515,11
0,516,28
0,517,6
0,518,9
0,519,45
0,52,65
0,520,46
0,521,43
0,522,93
0,523,98
0,524,34
0,526,48
0,528,10
0,529,55
0,530,91
0,531,73
0,532,88
0,533,35
0,534,5
0,536,38
0,537,7
0,539,13
0,54,18
0,540,77
0,541,64
0,544,68
0,545,16
0,546,79
0,547,47
0,548,22
0,549,88
0,55,69
0,550,91
0,551,67
0,552,82
0,554,16
0,556,97
0,56,39
0,560,69
0,561,89
0,562,78
0,564,75
0,565,34
0,568,40
0,573,40
0,576,56
0,577,15
0,578,72
0,58,35
0,580,54
0,581,14
0,582,95
0,583,35
0,584,100
0,586,2
0,587,96
0,588,24
0,590,1
0,592,39
0,593,30
0,594,100
0,595,13
0,596,63
0,598,76
0,6,69
0,60,66
0,600,14
0,602,21
0,604,91
0,608,23
0,610,26
0,611,76
0,614,10
0,616,81
0,621,27
0,624,8
0,625,99
0,627,70
0,630,75
0,633,95
0,64,27
0,640,12
0,641,9
0,642,100
0,643,92
0,644,28
0,645,62
0,646,71
0,648,72
0,649,97
0,65,21
0,650,16
0,652,23
0,654,85
0,656,13
0,657,49
0,658,51
0,659,33
0,66,81
0,660,40
0,67,82
0,672,6
0,673,2
0,674,64
0,675,86
0,676,63
0,677,86
0,68,31
0,682,71
0,683,56
0,69,55
0,694,28
0,697,95
0,698,63
0,7,92
0,70,82
0,704,65
0,705,57
0,706,39
0,708,43
0,71,10
0,710,65
0,712,53
0,716,41
0,718,31
0,72,79
0,720,63
0,722,92
0,723,77
0,726,66
0,73,15
0,736,82
0,737,54
0,738,87
0,74,25
0,740,42
0,748,10
0,75,71
0,752,70
0,76,4
0,768,41
0,770,49
0,771,82
0,772,32
0,773,51
0,774,27
0,775,68
0,776,37
0,778,96
0,78,15
0,784,87
0,786,55
0,787,28
0,788,81
0,789,91
0,791,26
0,792,7
0,793,57
0,798,72
0,8,94
0,80,96
0,800,89
0,801,72
0,802,69
0,803,20
0,804,22
0,806,39
0,809,34
0,81,9
0,810,55
0,811,13
0,812,55
0,816,91
0,82,68
0,821,58
0,825,13
0,827,9
0,83,60
0,832,46
0,833,64
0,834,32
0,836,58
0,84,17
0,840,56
0,844,58
0,848,25
0,849,24
0,85,86
0,851,68
0,859,9
0,860,98
0,864,66
0,867,75
0,873,7
0,874,88
0,88,40
0,880,66
0,887,68
0,896,97
0,897,24
0,898,47
0,899,19
0,9,70
0,900,13
0,902,48
0,904,41
0,905,88
0,909,48
0,912,53
0,913,95
0,916,90
0,92,82
0,921,78
0,925,89
0,926,23
0,928,64
0,93,44
0,931,28
0,932,3
0,936,26
0,94,55
0,940,79
0,946,66
0,96,16
0,960,37
0,964,72
0,966,86
0,968,88
0,97,35
0,972,84
0,98,89
0,980,82
0,99,46
0,992,22
0,995,46
0,996,48
1,0,65
1,10,60
1,100,1
1,1024,28
1,1025,80
1,1026,13
1,1027,55
1,1028,53
1,103,63
1,1030,5
1,1032,55
1,1033,25
1,1034,21
1,1036,76
1,1039,57
1,104,87
1,1040,72
1,1041,5
1,1042,43
1,1044,40
1,1046,99
1,1048,13
1,105,3
1,1053,18
1,1056,97
1,1057,21
1,1058,78
1,1059,50
1,106,97
1,1060,27
1,1064,58
1,1072,74
1,1075,65
1,1076,97
1,1077,81
1,1081,36
1,1082,7
1,1088,35
1,1090,50
1,1092,81
1,1095,38
1,1096,59
1,1097,28
1,1098,75
1,11,13
1,1100,45
1,1104,55
1,1105,83
1,1108,15
1,112,23
1,1120,67
1,1122,30
1,1128,55
1,1140,76
1,1152,54
1,1154,10
1,1156,84
1,1158,69
1,1160,12
1,1168,19
1,1170,71
1,1172,69
1,1184,76
1,1188,24
1,1196,53
1,12,92
1,120,77
1,1216,10
1,1217,3
1,1218,86
1,1219,85
1,122,40
1,1220,24
1,1223,70
1,1224,78
1,1230,52
1,1245,61
1,1249,6
1,1256,45
1,128,33
1,1280,34
1,1281,95
1,1282,49
1,1288,69
1,1289,96
1,129,90
1,1297,52
1,13,58
1,130,99
1,1306,88
1,131,85
1,1312,3
1,1316,34
1,132,85
1,133,24
1,1344,15
1,1348,31
1,1352,10
1,136,26
1,1364,46
1,137,95
1,1377,61
1,138,39
1,14,9
1,140,11
1,1408,78
1,1410,12
1,1414,44
1,142,21
1,1424,100
1,1425,87
1,144,15
1,1444,1
1,1448,92
1,1452,78
1,1459,51
1,146,59
1,147,26
1,1473,80
1,148,33
1,1506,32
1,152,46
1,153,4
1,1536,85
1,1537,79
1,1538,46
1,1540,46
1,1541,98
1,1543,75
1,1544,52
1,1545,13
1,1546,74
1,155,70
1,1554,45
1,1556,1
1,1558,31
1,1559,96
1,156,40
1,1560,8
1,1570,51
1,1572,69
1,1576,53
1,1584,47
1,16,19
1,160,1
1,1600,75
1,1602,81
1,1605,27
1,161,58
1,1611,6
1,1616,23
1,1618,18
1,1619,20
1,162,8
1,163,85
1,1632,35
1,1633,84
1,164,33
1,165,6
1,1664,29
1,1665,75
1,1672,47
1,168,100
1,17,87
1,1706,37
1,1714,3
1,172,51
1,1728,76
1,1729,75
1,1732,85
1,1744,6
1,1746,27
1,176,37
1,1768,91
1,1792,80
1,1793,88
1,1795,43
1,1796,29
1,18,86
1,1800,73
1,1802,65
1,1808,96
1,1810,37
1,1824,7
1,1828,49
1,1840,19
1,1859,27
1,1871,71
1,1888,91
1,19,45
1,192,32
1,193,31
1,195,65
1,1964,59
1,1988,59
1,199,87
1,2,91
1,20,26
1,200,27
1,2006,5
1,201,85
1,206,41
1,208,53
1,21,84
1,216,76
1,22,63
1,226,78
