source,end,weight
1,0,62
1,2,39
1,3,50
1,4,78
1,5,89
1,6,77
1,7,47
0,1,62
0,2,39
0,3,50
0,4,78
0,5,89
0,6,77
0,7,47
0,8,10
0,9,96
0,10,7
0,11,26
0,12,22
0,14,85
0,15,83
0,16,91
0,17,96
0,18,38
0,20,21
0,21,7
0,22,21
0,23,93
0,24,38
0,25,30
0,26,87
1,8,10
1,9,96
1,10,7
1,12,26
1,16,22
1,18,85
1,20,83
1,21,91
1,23,96
1,24,38
1,26,21
1,32,7
1,33,21
1,34,93
1,39,38
1,48,30
1,51,87
1,52,4
1,56,36
0,28,4
0,29,36
1,64,83
1,65,85
1,66,29
1,68,63
1,72,86
1,75,90
1,76,54
1,80,88
1,81,20
1,84,42
0,32,83
0,33,85
1,86,64
1,96,66
1,98,51
1,100,11
0,34,29
1,103,25
1,104,28
0,35,63
0,36,86
1,106,32
0,37,90
1,112,9
1,114,63
0,38,54
0,40,88
1,128,74
1,129,57
0,41,20
1,130,100
0,42,42
0,48,64
1,132,95
1,133,15
0,49,66
1,134,21
1,135,87
0,50,51
0,51,11
1,136,52
0,52,25
1,137,50
1,141,25
0,53,28
0,55,32
1,144,8
0,56,9
1,152,37
1,192,60
0,57,63
1,193,92
0,58,74
0,60,57
0,64,100
1,194,65
1,196,22
0,65,95
1,208,29
1,218,6
0,66,15
1,226,75
0,67,21
1,256,16
1,258,25
0,68,87
0,69,52
1,259,68
1,261,79
0,70,50
0,71,25
1,264,43
0,72,8
1,265,71
0,73,37
0,76,60
1,268,42
1,269,19
0,78,92
0,80,65
1,275,98
0,81,22
1,276,73
1,286,79
0,82,29
0,83,6
0,84,75
0,85,16
0,89,25
0,90,68
0,96,79
0,97,43
0,98,71
0,99,42
1,288,60
0,100,19
1,292,47
1,296,35
1,320,12
1,325,93
1,328,1
0,112,98
0,113,73
1,340,32
1,344,31
1,352,5
1,392,33
1,393,55
1,400,12
1,401,69
1,407,14
1,416,55
0,114,79
1,425,85
1,448,88
0,120,60
0,128,47
0,129,35
1,449,83
1,460,42
1,512,62
0,130,12
0,131,93
1,513,51
0,132,1
1,514,67
0,133,32
1,517,82
1,518,81
0,135,31
0,136,5
1,520,61
1,522,52
0,137,33
0,141,55
1,524,22
0,142,12
1,528,79
0,143,69
0,144,14
1,531,1
1,546,47
0,145,55
1,548,9
1,550,61
0,146,85
0,147,88
1,552,45
0,148,83
1,560,96
1,562,72
0,149,42
0,151,62
1,578,37
0,152,51
1,580,96
1,582,55
0,153,67
0,160,82
1,586,67
0,161,81
0,164,61
0,165,52
1,599,100
1,608,87
0,169,22
0,170,79
0,172,1
0,176,47
0,177,9
0,178,61
1,612,21
0,186,45
1,624,63
0,192,96
0,193,72
1,640,7
0,194,37
1,641,87
1,648,17
0,195,96
0,200,55
1,653,91
1,664,74
0,207,67
1,672,52
0,208,100
0,209,87
1,674,84
1,708,87
0,217,21
0,218,63
1,714,2
0,224,7
0,225,87
1,760,50
1,768,68
0,227,17
1,770,34
0,248,91
0,256,74
1,772,62
1,774,19
0,257,52
1,776,56
0,258,84
1,801,92
1,834,20
0,259,87
0,260,2
1,846,54
0,262,50
0,264,68
1,867,1
1,868,32
1,896,98
1,908,48
1,938,55
1,960,86
1,961,43
1,1024,9
1,1025,52
1,1026,95
0,265,34
1,1028,47
1,1034,24
0,268,62
0,270,19
0,272,56
0,275,92
0,276,20
1,1036,57
0,280,54
0,286,1
1,1037,53
1,1038,62
1,1040,74
0,288,32
1,1047,95
0,289,98
1,1050,35
0,290,48
0,292,55
1,1052,77
1,1053,78
0,294,86
0,298,43
1,1056,74
0,304,9
1,1061,78
1,1062,80
1,1068,41
0,305,52
