source,end,weight
1,0,35
1,2,35
1,3,23
1,4,35
1,5,20
1,6,32
1,8,1
1,9,12
1,10,13
1,12,84
1,14,35
1,16,84
1,17,89
1,18,92
1,19,44
1,22,16
1,24,77
1,28,13
0,1,35
0,2,35
0,3,23
0,4,35
0,5,20
0,6,32
0,8,1
0,9,12
0,10,13
0,11,84
0,12,35
0,13,84
0,14,89
0,16,92
0,17,44
0,18,16
0,19,77
0,20,13
0,22,35
1,32,35
1,33,82
1,34,37
1,36,6
1,40,52
1,41,80
1,42,9
1,48,4
1,50,77
1,56,4
1,58,30
1,64,56
1,65,31
1,66,16
1,67,43
1,68,53
1,70,51
1,72,62
1,75,36
1,77,51
1,80,73
1,86,48
1,88,86
1,91,59
1,92,31
1,96,74
1,98,51
1,99,74
0,24,82
0,25,37
0,26,6
0,29,52
0,30,80
1,116,41
1,123,27
1,128,38
1,130,28
1,132,60
1,133,26
1,136,33
1,142,12
1,144,6
1,152,41
1,160,67
0,32,9
0,33,4
1,166,34
1,172,96
1,176,97
1,178,90
1,192,78
0,34,77
0,36,4
1,194,12
1,232,32
0,38,30
0,40,56
1,256,30
1,257,14
0,41,31
0,42,16
1,258,45
1,260,65
0,48,43
1,262,65
0,51,53
0,53,51
1,264,69
1,266,64
0,56,62
1,272,2
1,276,28
0,61,36
0,64,51
1,288,46
0,65,73
1,299,28
0,66,48
0,67,86
1,320,30
1,321,71
0,68,59
1,328,20
1,329,8
0,70,31
0,72,74
1,330,9
0,73,51
0,74,74
1,334,47
0,76,41
1,344,67
1,346,86
1,353,31
0,77,27
0,78,38
1,368,30
0,80,28
1,376,91
0,81,60
0,82,26
1,384,23
1,386,49
0,84,33
1,390,77
0,86,12
1,425,71
1,434,45
0,90,6
0,92,41
1,452,18
0,94,67
0,96,34
1,466,48
1,512,8
0,97,96
1,513,1
0,98,97
0,100,90
1,514,30
1,516,22
0,102,78
1,517,45
0,104,12
0,106,32
1,519,46
1,520,38
0,108,30
1,528,13
0,112,14
0,118,45
1,529,10
1,532,91
0,120,65
1,540,40
0,128,65
0,129,69
1,544,7
1,545,18
0,130,64
1,546,21
1,552,78
1,577,38
1,580,28
1,583,38
1,590,36
1,593,95
1,597,23
0,132,2
0,133,28
1,600,67
0,134,46
0,136,28
1,640,76
1,644,66
0,137,30
1,648,89
0,138,71
0,139,20
1,653,24
1,664,42
0,141,8
1,672,11
0,144,9
1,735,68
1,768,59
0,145,47
0,146,67
1,769,59
1,772,28
1,774,59
1,851,88
0,149,86
0,152,31
1,856,1
1,905,3
1,932,85
0,153,30
1,1020,90
0,154,91
1,1024,67
1,1025,46
0,158,23
0,159,49
1,1026,80
0,160,77
1,1027,7
1,1028,53
0,161,71
0,163,45
1,1030,50
1,1032,27
0,164,18
1,1034,30
0,165,48
0,166,8
1,1048,87
0,168,1
0,169,30
0,176,22
0,182,45
0,184,46
0,192,38
0,193,13
0,194,10
