source,end,weight
1,0,10
1,2,70
1,3,31
1,4,63
1,6,2
1,8,53
1,9,17
1,12,89
1,16,13
1,17,10
1,18,51
1,21,49
1,22,43
1,24,85
1,32,51
1,33,75
1,34,43
1,40,38
0,1,10
0,2,70
0,3,31
0,4,63
0,5,2
0,6,53
0,7,17
0,8,89
0,9,13
0,10,10
0,12,51
0,13,49
0,16,43
0,17,85
0,18,51
0,19,75
0,20,43
0,21,38
0,24,99
0,26,1
0,32,79
0,33,71
0,34,68
0,38,40
0,39,45
0,40,17
0,41,7
0,43,27
0,44,16
0,48,20
0,56,38
0,58,25
2,0,41
2,1,69
2,4,88
2,6,43
2,8,21
2,9,4
2,16,31
2,17,34
2,18,66
2,20,33
2,21,34
2,26,8
2,32,17
2,52,84
2,53,34
4,0,11
4,1,21
4,2,33
4,6,63
4,8,51
4,11,55
4,16,30
4,18,90
4,20,99
4,24,46
4,32,49
4,33,78
4,35,13
4,36,20
4,40,15
4,44,38
4,48,60
4,56,83
6,2,77
6,3,54
6,11,4
6,14,32
6,16,36
6,18,89
6,37,49
6,40,68
6,56,22
8,0,9
8,1,37
8,2,5
8,4,42
8,6,47
8,7,77
8,9,26
8,12,62
8,17,79
1,42,99
1,44,1
1,45,79
1,46,71
1,47,68
1,48,40
1,50,45
1,56,17
1,59,7
3,0,27
3,1,16
3,2,20
3,6,38
3,8,25
3,20,41
3,26,69
3,32,88
3,37,43
5,0,21
5,6,4
5,8,31
5,16,34
5,24,66
5,35,33
5,42,34
5,56,8
5,60,17
8,18,81
7,0,84
7,2,34
9,0,11
9,1,21
9,8,33
9,16,63
9,17,51
9,36,55
11,8,30
13,0,90
13,8,99
8,20,91
13,9,46
13,36,49
13,40,78
15,0,13
15,1,20
8,24,68
8,32,31
17,0,15
8,33,89
17,1,38
17,19,60
8,34,68
17,50,83
19,24,77
8,37,8
8,40,1
19,32,54
8,44,39
21,0,4
21,18,32
8,49,23
21,20,36
23,1,89
8,51,90
23,4,49
8,61,51
10,0,5
25,0,68
10,1,66
25,8,22
25,28,9
10,8,4
25,34,37
25,35,5
27,4,42
27,16,47
10,9,60
29,0,77
29,1,26
10,16,98
29,18,62
10,19,92
29,34,79
31,11,81
10,20,100
10,40,46
33,0,91
33,3,68
10,50,59
33,17,31
33,32,89
10,53,21
33,34,68
33,48,8
10,56,54
33,56,1
35,0,39
12,1,95
35,16,23
12,2,77
35,18,90
35,24,51
12,8,48
12,9,94
37,0,5
12,32,5
37,2,66
37,32,4
12,33,73
12,36,55
37,42,60
14,0,83
16,0,5
39,8,98
16,1,97
16,2,3
41,4,92
41,34,100
16,4,36
16,5,85
41,48,46
41,60,59
16,6,22
45,1,21
16,7,43
49,0,54
16,9,86
49,32,95
53,18,77
16,10,61
16,12,17
57,0,48
16,17,75
57,11,94
16,19,63
59,1,5
16,21,74
16,32,93
16,36,66
16,48,33
16,52,42
16,54,57
16,56,85
18,0,87
18,4,68
18,5,57
18,16,93
18,29,14
18,54,34
20,0,92
20,1,7
20,2,90
20,15,16
20,18,13
20,19,25
20,26,21
20,32,10
20,41,27
20,48,8
22,36,94
22,48,100
24,0,2
24,1,31
24,2,12
24,8,19
24,12,58
24,16,74
24,32,44
24,44,50
26,0,40
26,1,28
26,5,91
26,8,48
26,16,12
28,36,29
32,0,15
32,1,69
32,4,73
32,8,29
32,9,54
32,12,64
32,16,87
32,21,43
32,24,80
32,33,100
32,34,67
32,40,52
32,41,61
32,48,45
34,0,59
34,1,54
34,2,45
34,5,12
34,8,37
34,12,56
34,60,82
36,0,94
36,10,82
36,12,25
36,18,43
36,20,21
36,24,53
36,40,33
38,1,20
40,0,64
40,2,61
40,7,87
40,18,32
40,32,34
40,36,67
40,37,37
40,49,49
40,54,53
44,52,32
46,0,28
48,0,4
48,1,50
48,8,31
48,21,64
48,40,95
48,44,89
48,57,70
50,16,91
50,53,53
52,0,6
52,1,98
52,36,34
54,33,99
56,3,79
56,4,59
56,8,41
58,0,51
58,16,11
60,9,25
