source,end,weight
1,0,63
1,2,96
1,4,25
1,5,16
1,8,24
1,10,26
1,16,35
1,17,14
1,18,100
1,24,17
1,28,86
3,0,20
3,2,18
3,17,67
3,26,64
3,30,72
5,1,49
5,10,38
5,17,32
5,18,99
5,23,16
7,0,24
7,5,31
9,0,43
0,1,63
0,2,96
0,3,25
0,4,16
0,5,24
0,6,26
0,8,35
0,9,14
0,10,100
0,12,17
0,14,86
0,16,20
0,17,18
0,18,67
0,22,64
0,24,72
0,25,49
0,28,38
9,1,72
9,4,27
9,10,40
9,12,66
9,25,94
11,1,36
2,0,32
2,4,99
2,9,16
2,12,24
2,16,31
2,26,43
2,28,72
4,0,27
4,1,40
4,2,66
4,5,94
13,1,46
13,10,8
17,0,83
4,6,36
4,8,46
4,10,8
4,16,83
4,18,71
17,2,71
17,4,24
4,20,24
4,26,6
17,5,6
6,2,48
17,16,48
6,4,10
6,12,20
19,0,10
6,16,99
6,17,26
27,0,20
8,0,57
27,4,99
27,16,26
8,1,19
27,17,57
8,2,43
8,3,24
29,0,19
8,4,34
29,16,43
8,6,66
8,9,72
29,20,24
8,11,71
8,16,50
8,17,23
8,18,38
8,24,73
10,0,53
10,1,80
10,2,44
10,4,80
10,8,71
10,16,61
10,18,25
10,22,59
12,0,6
12,16,32
12,17,41
12,18,76
12,25,7
14,17,47
16,0,76
16,1,68
16,2,18
16,4,74
16,8,94
16,17,26
16,20,44
16,24,88
18,0,1
18,1,77
18,2,54
18,4,25
18,10,99
18,12,3
18,17,47
20,0,89
20,4,27
20,8,51
20,10,20
20,13,22
20,18,82
20,24,91
20,26,82
22,8,6
24,0,1
24,3,87
24,4,90
24,8,93
24,12,15
24,18,48
24,30,39
26,8,90
26,16,16
28,0,8
30,0,63
