source,end,weight
0,1,19
0,2,32
0,3,69
0,4,43
0,5,3
0,6,84
0,7,79
0,8,26
0,9,99
0,12,71
0,13,24
0,16,63
0,17,53
0,18,15
0,20,94
0,21,44
0,23,88
1,0,19
1,4,32
1,5,69
1,6,43
1,8,3
1,9,84
1,10,79
1,11,26
1,12,99
1,15,71
1,16,24
1,17,63
1,18,53
1,20,15
1,24,94
1,27,44
1,28,88
1,32,100
0,24,100
0,25,40
0,27,11
0,28,26
0,29,46
0,32,86
0,33,14
0,34,74
0,36,61
0,37,30
0,39,31
0,41,15
0,43,49
0,45,27
0,48,85
0,50,32
0,51,95
0,52,27
0,56,35
0,59,31
0,60,57
0,64,60
0,65,29
0,66,28
0,67,84
1,33,40
1,35,11
1,48,26
1,50,46
1,53,86
1,58,14
1,64,74
1,65,61
1,68,30
1,71,31
1,72,15
1,74,49
1,76,27
1,80,85
1,88,32
1,90,95
1,111,27
1,112,35
1,128,31
1,130,57
1,135,60
1,136,29
1,138,28
1,140,84
1,141,92
1,144,32
0,68,92
1,160,50
1,162,37
1,176,76
1,194,38
1,230,88
1,238,15
1,256,100
1,258,13
1,259,13
1,260,85
0,69,32
0,71,50
1,262,27
1,264,38
1,288,45
1,294,8
0,72,37
1,296,20
1,300,11
0,76,76
0,80,38
1,304,9
0,81,88
1,328,47
1,352,95
1,354,40
0,82,15
1,356,41
0,86,100
0,91,13
1,372,74
0,96,13
1,386,26
1,400,23
0,101,85
0,102,27
1,418,30
1,441,86
0,104,38
1,450,52
0,114,45
0,120,8
1,460,9
0,122,20
3,0,21
3,2,95
0,128,11
0,129,9
3,5,93
0,130,47
3,8,22
3,15,31
0,132,95
0,133,40
3,16,68
0,136,41
3,32,59
3,34,18
0,137,74
0,138,26
3,37,34
0,139,23
3,48,10
0,140,30
3,66,82
3,72,98
0,143,86
0,144,52
3,101,94
3,112,8
0,145,9
0,146,21
3,128,35
0,150,95
3,133,91
3,136,68
0,151,93
3,144,55
3,192,53
0,153,22
0,154,31
3,226,28
0,160,68
0,161,59
0,164,18
0,166,34
0,177,10
0,180,82
0,189,98
3,242,1
0,192,94
0,194,8
3,256,48
3,264,67
0,197,35
3,267,93
3,273,73
0,208,91
0,214,68
0,217,55
0,224,53
3,288,93
0,225,28
3,315,68
3,326,54
0,230,1
0,233,48
3,328,30
0,240,67
3,417,71
0,256,93
0,257,73
0,258,93
0,259,68
5,0,15
0,260,54
5,1,2
5,4,65
0,261,30
5,6,7
0,263,71
0,264,15
0,265,2
5,8,23
5,18,47
0,267,65
5,21,26
0,268,7
0,272,23
5,34,34
5,35,16
0,276,47
5,41,11
0,277,26
0,279,34
5,42,43
0,280,16
5,48,97
5,64,9
0,288,11
5,68,89
0,290,43
0,306,97
5,77,57
5,78,43
0,312,9
0,316,89
5,84,31
5,88,76
0,320,57
5,128,49
0,321,43
5,129,83
0,324,31
0,331,76
5,132,3
5,144,1
0,336,49
0,337,83
0,352,3
0,353,1
0,384,82
0,385,69
0,386,94
5,155,82
0,387,54
5,162,69
5,258,94
0,392,13
0,405,13
5,260,54
0,407,60
0,408,94
5,274,13
5,291,13
5,394,60
0,455,83
5,416,94
0,458,74
5,448,83
5,450,74
7,2,95
0,484,95
0,488,99
7,12,99
2,0,80
2,1,18
7,20,80
7,90,18
2,3,45
2,4,57
7,128,45
7,320,57
2,6,3
2,7,12
7,332,3
2,8,67
2,9,45
9,0,12
9,1,67
2,13,8
9,2,45
2,16,75
9,4,8
2,18,33
2,20,16
9,5,75
9,8,33
2,24,70
9,48,16
2,28,15
2,32,91
9,64,70
9,69,15
2,34,18
9,96,91
2,36,98
2,40,93
9,104,18
9,144,98
2,41,19
9,172,93
2,48,79
9,208,19
2,51,14
2,52,64
9,210,79
2,57,33
9,218,14
9,256,64
2,65,78
2,66,76
9,258,33
9,260,78
2,72,92
9,264,76
2,80,24
2,88,10
9,266,92
9,267,24
2,96,17
9,273,10
2,97,18
9,288,17
2,102,8
2,107,48
9,304,18
9,305,8
2,114,87
9,307,48
2,128,52
2,129,4
9,313,87
9,392,52
2,130,89
2,132,63
11,0,4
11,1,89
2,134,70
11,16,63
11,32,70
2,136,86
11,144,86
